date,likesCount,commentsCount,text
2022-09-07 17:12:32+00:00,2,0,"Neat comparison I have not heard it before.
 I would say that CO2 is like a disco ball so energy and collide with countless molecules as it bounces around in our atmosphere."
2022-09-08 14:51:13+00:00,0,0,An excellent way to visualise the invisible! Thanks
2022-09-07 17:19:41+00:00,1,3,Does the CO2/ghg in the troposphere affect the stratosphere? Being warmer the troposphere must be expanding?
2022-09-08 00:51:30+00:00,4,0,excellent post! I defo feel the difference - one i can drink and the other makes me feel sick.
2022-09-07 19:06:20+00:00,16,26,"Yes, and carbon dioxide does not harm the Earth like you people are making it out to be. Fake climate change rhetoric, as usual."
2022-09-15 17:10:57+00:00,4,1,Excellent example...very relatable to the Gen Pop. Complex topics...explained in understandable ways. 👍⚡
2022-09-07 17:31:25+00:00,10,0,I am so proud of whoever created this content. Please feel very very good about yourself today
2022-09-07 18:07:53+00:00,1,21,Has the Earth ever had a concentration of over 1000 ppm?
2022-09-07 22:45:56+00:00,0,0,"Yes, and not even half a cup later that poor soul is gonna know it too."
2022-09-07 16:30:55+00:00,4,8,Historical co2 data would make it an interesting post
2022-09-07 16:13:39+00:00,6,28,why the northern hemisphere warm more than the southern hemisphere?
2022-09-07 17:10:34+00:00,1,6,So what are we gonna do about it?
2022-09-07 16:48:17+00:00,3,0,Yes. I fall asleep on decaf and stay awake with real coffee. You can keep your brown sadness water thanks.
2022-09-07 16:29:02+00:00,18,1,Plus you can literally measure the heat retention effect of CO2 in a glass container in a lab
2022-09-07 22:24:21+00:00,3,0,"The two most abundant gases (nitrogen and oxygen) comprise 99% of the atmosphere. Neither traps heat. By definition, all greenhouse gases are trace gases because they live in the remaining 1%. It's too bad the CO2 is naturally so sparse. If CO2 were naturally abundant like oxygen, our emissions wouldn't matter. We'd have a negligible impact. But because CO2 is naturally sparse, our emissions matter a lot. In fact, one-third of the CO2 in the atmosphere is due to human activity. We have to stop emitting and pull CO2 we've already emitted out of the atmosphere to stabilize the climate."
2022-09-07 17:30:50+00:00,14,0,That's an excellent way to illustrate 400 ppm.
2022-09-07 17:29:49+00:00,40,3,"I find it interesting when people claim that CO2 can't possibly be the cause of the Earth warming because it is just a trace gas, yet the same people would acknowledge that this trace gas is responsible for all plant life on Earth."
2022-09-07 17:15:55+00:00,1,0,Love this post! Great pedagogy 🙏
2022-09-07 17:26:16+00:00,0,1,Kathy Schulz
2022-09-07 16:25:32+00:00,0,0,Before of after I drink it?
2022-10-08 11:58:59+00:00,0,0,"That’s a good analogy. 

I have thought that another one (involving the absorption of EM waves, though in the visible) might be: try putting a small amount (0.4cc) of blue die into a litre bottle of water. All of the water then has a faint blue tinge."
2022-09-07 16:05:17+00:00,0,0,Great advice!
2022-09-07 16:25:20+00:00,0,0,Thanks for sharing
2022-09-15 16:05:08+00:00,0,0,Excellent
2022-09-08 21:32:25+00:00,0,0,"Not if its good coffee beans, 
Not until I get jittery🤣🤣🤣🤣"
2022-09-10 14:03:08+00:00,1,0,💖💖💖
2022-09-10 21:41:15+00:00,0,0,*********
2023-08-13 18:38:05+00:00,0,0,Hlw
2022-09-07 17:05:34+00:00,0,0,decaf is like mouth to mouth were as caffeinated is a defibrillator electric jolt.
2022-11-30 10:18:53+00:00,4,7,"Maybe this is what happened to Mars...we messed it up, came here and doing it all over again...meant as a joke, but I wouldn't be surprised."
2022-11-30 10:13:48+00:00,1,1,"It is not the average temperature that is important,but the difference between night and day and the seasons."
2022-11-29 18:34:36+00:00,21,5,It's always fun watching dropouts pretend to argue science with NASA.
2022-11-29 18:37:59+00:00,19,1,"Whenever NASA posts good, peer reviewed science I make sure to read the comments to see what the nut jobs have to say"
2022-11-29 18:29:22+00:00,3,0,Due to more carbon🤦‍♀️
2022-12-15 06:02:09+00:00,3,5,"Maybe if Fox had investigative journalists they would: 1: understand the physics of climate change and the dangers they present! 2: would expose the propaganda of the fossil fuel industry! 3: not mock those like AOC who are trying to make real change!

Here: read this/watch real investigative reporters with hard data and not Fox charlatans!

Watch and learn!

https://www.pbs.org/video/the-power-of-big-oil-part-one-denial-redxh6/"
2022-11-29 20:25:36+00:00,1,0,"By 2050….12-18 inches as the rate continues to accelerate , glad am 58 and not 28"
2022-11-29 21:33:48+00:00,2,0,You simply can’t mess with science and the data collected by thousands of scientists and researchers. What will it take for politicians to finally take a stance to actually globally combat climate change????
2022-11-29 18:39:45+00:00,5,2,"Cue the science graduates of the universities of Google, Facebook, & YouTube."
2022-11-29 18:28:44+00:00,3,0,That’s horrendous
2022-11-29 18:30:13+00:00,0,2,"Say bye bye, Florida."
2022-11-30 04:57:27+00:00,1,0,Sustainability VS Stability of climate change solution is a must
2023-12-02 16:41:56+00:00,1,1,Dutchy Holland maybe you better move up a level in your apartment building
2022-11-29 19:49:25+00:00,12,23,Yet so many westerners don't believe or understand the simple science behind global warming. This is why BigOil still has so much power.
2022-12-05 13:56:09+00:00,0,0,Di pulau Jawa Indonesia sering gempa sekarang
2022-11-30 02:38:06+00:00,0,0,"Andrew Bidi apropo de conversatia noastra, am vazut asta si am zis sa iti arat 😅"
