YEAR,MONTH,ALLSKY_SFC_SW_DWN,CLOUD_AMT,CLRSKY_KT,PRECTOTCORR,PS,PSC,RH2M,T2M,WD10M,WS10M,WS2M,WSC
2001,ANN,4.64,64.05,0.67,3.85,93.63,76.34,66.54,23.99,274.1,3.32,2.21,4.0
2001,APR,6.17,49.26,0.7,1.95,93.7,76.68,45.34,29.46,246.0,2.87,2.0,3.4
2001,AUG,3.08,95.63,0.66,13.75,93.12,75.9,91.81,23.68,266.6,4.41,3.04,5.2
2001,DEC,4.57,40.57,0.68,0.03,94.41,76.54,70.87,16.28,67.5,2.46,1.4,3.09
2001,FEB,5.74,35.2,0.71,0.0,93.88,76.54,28.41,23.94,302.8,2.87,1.81,3.47
2001,JAN,4.68,40.73,0.67,0.02,94.06,76.46,43.57,19.81,38.4,2.5,1.52,3.05
2001,JUL,3.14,95.86,0.66,9.34,93.07,75.88,88.38,23.93,262.6,5.07,3.55,5.94
2001,JUN,3.43,94.4,0.64,6.88,93.06,75.91,81.39,24.76,257.1,4.72,3.33,5.45
2001,MAR,5.44,55.0,0.66,0.48,93.78,76.7,36.98,28.43,251.9,2.72,1.86,3.28
2001,MAY,6.39,62.64,0.69,3.2,93.25,76.38,50.73,30.79,255.9,3.89,2.74,4.59
2001,NOV,4.0,55.26,0.67,2.92,94.08,76.48,86.84,19.96,62.2,3.31,2.09,4.15
2001,OCT,4.7,59.62,0.68,1.67,93.72,76.34,86.61,22.69,75.0,2.7,1.69,3.48
2001,SEP,4.41,84.38,0.66,5.9,93.46,76.2,87.61,24.09,355.0,2.31,1.52,2.89
2002,ANN,5.0,59.38,0.67,2.76,93.69,76.41,63.54,24.41,260.0,3.43,2.27,4.17
2002,APR,6.72,34.57,0.7,1.62,93.61,76.66,42.66,30.45,247.2,3.66,2.53,4.46
2002,AUG,2.89,94.38,0.65,10.64,93.14,75.93,89.49,23.87,250.5,5.16,3.58,5.92
2002,DEC,4.69,39.83,0.67,0.01,94.24,76.61,49.84,19.86,57.9,2.73,1.59,3.48
2002,FEB,5.44,38.56,0.7,0.0,94.26,76.75,51.53,22.25,93.3,2.81,1.75,3.58
2002,JAN,4.61,38.37,0.69,1.4,94.17,76.48,67.46,18.56,123.2,2.45,1.52,3.09
2002,JUL,4.2,89.96,0.64,6.61,93.21,76.06,81.41,25.34,270.9,4.02,2.8,4.86
2002,JUN,4.74,82.84,0.65,6.55,93.18,76.1,77.24,26.42,236.6,4.05,2.86,4.8
2002,MAR,6.04,44.79,0.69,0.26,93.87,76.69,38.96,27.11,267.4,3.09,2.04,3.77
2002,MAY,6.41,57.47,0.68,1.83,93.2,76.46,37.3,33.12,263.0,4.21,2.97,4.94
2002,NOV,4.79,46.13,0.68,0.1,94.07,76.48,60.58,19.95,53.8,2.89,1.74,3.6
2002,OCT,4.93,61.68,0.67,1.55,93.85,76.43,80.37,22.38,64.2,2.68,1.67,3.45
2002,SEP,4.52,83.92,0.66,2.51,93.52,76.23,85.67,23.62,281.6,3.38,2.24,4.11
2003,ANN,4.77,62.91,0.68,4.28,93.68,76.41,65.72,24.61,261.7,3.45,2.32,4.13
2003,APR,6.6,45.36,0.7,0.47,93.67,76.76,37.23,31.45,241.8,3.33,2.36,3.95
2003,AUG,3.25,94.43,0.67,11.7,93.15,75.95,91.49,24.01,270.6,4.17,2.88,4.96
2003,DEC,4.2,40.45,0.68,2.26,94.3,76.45,80.89,16.23,62.4,2.79,1.66,3.56
2003,FEB,5.29,43.75,0.69,0.43,94.07,76.72,49.23,24.46,129.8,2.73,1.82,3.4
2003,JAN,4.62,45.43,0.67,0.01,94.3,76.68,43.65,20.2,50.3,2.86,1.72,3.66
2003,JUL,3.02,96.4,0.67,16.41,93.12,75.94,89.53,24.32,257.6,4.42,3.11,5.11
2003,JUN,4.9,89.8,0.66,2.15,93.09,76.18,58.82,29.36,239.6,5.22,3.79,5.59
2003,MAR,5.8,48.13,0.69,1.4,93.91,76.7,43.89,26.49,263.4,2.93,1.95,3.58
2003,MAY,6.52,65.94,0.69,0.28,93.3,76.55,31.86,33.31,278.6,3.89,2.77,4.54
2003,NOV,5.17,26.53,0.68,0.0,94.21,76.52,82.1,18.7,57.2,2.33,1.37,2.9
2003,OCT,4.15,69.48,0.68,9.64,93.71,76.34,89.13,22.88,67.0,3.19,2.05,4.0
2003,SEP,3.75,89.18,0.66,6.63,93.38,76.13,90.76,23.89,255.5,3.52,2.36,4.27
2004,ANN,4.97,55.13,0.68,4.34,93.72,76.37,71.29,23.26,263.5,3.13,2.07,3.8
2004,APR,6.72,40.36,0.7,1.57,93.61,76.64,45.19,30.11,241.6,3.86,2.69,4.67
2004,AUG,3.24,89.09,0.67,9.41,93.13,75.92,91.17,23.89,261.7,4.57,3.16,5.42
2004,DEC,4.73,25.7,0.67,0.0,94.26,76.44,72.09,16.63,67.3,2.38,1.37,2.96
2004,FEB,5.72,26.44,0.7,0.15,94.15,76.52,57.96,19.55,33.9,2.6,1.61,3.17
2004,JAN,4.64,38.02,0.67,1.59,94.2,76.42,75.02,17.11,90.3,2.39,1.46,3.02
2004,JUL,3.65,96.26,0.66,12.91,93.14,75.94,89.98,24.04,254.4,3.59,2.49,4.37
2004,JUN,4.46,80.79,0.65,10.24,93.23,76.12,76.94,26.05,253.2,4.54,3.19,5.31
2004,MAR,6.44,33.93,0.71,0.07,93.88,76.68,39.5,26.77,337.6,2.89,1.9,3.44
2004,MAY,5.92,58.3,0.68,1.36,93.31,76.4,52.12,30.13,221.0,3.74,2.67,4.29
